id,Label,Type,Role,Affiliated Actor(s),Description,Location,Latitude,Longitude,Connection Evidence
A031,Schule am Plessower See,School,Education,,,"Kemnitzer Ch 75, 14542 Werder (Havel)",52.39346732601914,12.899814655123558,https://www.youtube.com/watch?v=do9YxpgdvY4
A032,Schule des Lebens,School,Education,,,,52.32515218359812,12.744809867014636,https://www.youtube.com/watch?v=do9YxpgdvY4
A033,Independent Living Stiftung,Organization/Institution,Civil Society,,"Kinder- und Jugendhilfeeinrichtungen in Potsdam:

We offer a variety of innovative, high-quality and reliable education and care services. With a regional reference, we support cities and municipalities flexibly and transparently in solving municipal tasks.

In our basic attitude, we assume that every person determines his own life. In the institutions and projects of the INDEPENDENT LIVING Foundation, people are involved in all decisions that affect their affairs.","Briesener Straße 4
15230 Frankfurt (Oder)",52.340378906972944,14.544197455120758,https://www.youtube.com/watch?v=do9YxpgdvY4
A034,WWOOF: Worldwide Opportunities on Organic Farms,Organization/Institution,Network or Intermediary,,,"Hauptstr. 30, 99752 Bleicherode, Germany",51.43809247873846,10.568206783909583,https://www.youtube.com/watch?v=do9YxpgdvY4
A035,Montelino im Volkspark (Depot),Depot,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,Kinder und Jugendcircus ,,,,https://bauerei-potsdam-grube.de/2025/12/28/3-monats-probe-abo-2025-oder-patenbaum/
A036,Maulbeerallee (Depot),Depot,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,,,,,https://bauerei-potsdam-grube.de/2025/12/28/3-monats-probe-abo-2025-oder-patenbaum/
A037,Nansenstraße (Depot),Depot,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,,,,,https://bauerei-potsdam-grube.de/2025/12/28/3-monats-probe-abo-2025-oder-patenbaum/
A038,Lottenhof (Depot),Depot,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,,,,,https://bauerei-potsdam-grube.de/2025/12/28/3-monats-probe-abo-2025-oder-patenbaum/
A039,Einsteinstraße (Depot),Depot,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,,,,,https://bauerei-potsdam-grube.de/2025/12/28/3-monats-probe-abo-2025-oder-patenbaum/
A040,Projekthaus Babelsberg (Depot),Depot,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,"Housing project and focus on education, intercultural meetings, ecological mobility and sustainability ",,,,https://bauerei-potsdam-grube.de/2025/12/28/3-monats-probe-abo-2025-oder-patenbaum/
A041,Uferwerk eG (Depot),Depot,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,Housing Society in Werder ,,,,https://bauerei-potsdam-grube.de/2025/12/28/3-monats-probe-abo-2025-oder-patenbaum/
A042,Werder/Kesselgrundstraße (Depot),Depot,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,,,,,https://bauerei-potsdam-grube.de/2025/12/28/3-monats-probe-abo-2025-oder-patenbaum/
A043,BikeBash,Organization/Institution,Civil Society,,Biking group that has several posts where they tag BAUERei,"Grenzstraße 6, 14482 Potsdam-Babelsberg",52.398060161569674,13.094372339777948,https://www.instagram.com/p/CwvW8ugMs4G/?img_index=1
A044,Gud Berlin ,Organization/Institution,Supporting Organisation,SoLaWi BAUERei Potsdam-Grube,,"Linienstraße 145, Berlin, Germany 10115",52.52692472705909,13.391177039784829,https://www.instagram.com/p/DAs4_15MdsY/
A045,European Commission,Government,Governance,,,"Rue de la Loi 200 / Wetstraat 200, 1049 Brussels, Belgium",50.843257490382626,4.381848812715104,
A046,BIOHOF WERDER,Organization/Institution,Food Producer,BioRegion Havelland,Organic farm producing fruit/vegetables for regional distribution,"Eisenbahnstraße 158, 14542 Werder (Havel)",52.3851251007124,12.93018238766991,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A047,BioInsel Rathenow & Albertinenhof Havelland,Organization/Institution,Food Producer,BioRegion Havelland,Organic farming enterprises in Havelland production network,"Rhinower Landstraße 193, 14712 Rathenow",52.65513585341285,12.336313283973892,https://www.maz-online.de/lokales/havelland/bio-obst-und-gemuese-aus-dem-havelland-neues-netzwerk-bioregion-havelland-XGOKB3TOJBES3CXGHJQ24H4R6E.html
A048,Der Obstbäumerich mit Obstmuckelei,Organization/Institution,Food Producer,BioRegion Havelland,Fruit production/processing partner,"Schöpfurter Straße 14
16225 Eberswalde",52.834153764973,13.791860115598917,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A049,Freie Waldorfschule Werder/Havel,School,Education,BioRegion Havelland; BAUERei Grube,Alternative pedagogy school involved in food education and regional learning,"Elsastraße 14-16, 14542 Werder (Havel)",52.39664822515144,12.92458988210495,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A050,GÖHLSDORFER HOF,Organization/Institution,Food Producer,BioRegion Havelland,Organic farm partner in regional supply system,"Lehniner Allee 21, 14797 Kloster Lehnin-Göhlsdorf",52.358170705036144,12.797574176032967,https://www.bioregion-havelland.de/index.php/kooperationspartner/
A051,GUTER KONSUM – Bio Dorfladen,Organization/Institution,Supporting Organisation,BioRegion Havelland,Organic retail/distribution partner,"Mittelstraße 4, 14542 Werder (Havel)",52.42928912051326,12.887232382382873,https://www.bioregion-havelland.de/index.php/kooperationspartner/
